"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Get courses","LMS service","Tue Aug 05 13:33:33 GMT 2025","passed","Tue Aug 05 13:33:33 GMT 2025","Get entities","Courses","",""
"","285","Create user","LMS service","Tue Aug 05 13:33:42 GMT 2025","passed","Tue Aug 05 13:33:43 GMT 2025","Create entity","Users","",""
"","17","Update exercise","LMS service","Tue Aug 05 13:33:37 GMT 2025","passed","Tue Aug 05 13:33:37 GMT 2025","Update entity","Exercises","",""
"","13","Get user me","LMS service","Tue Aug 05 13:33:44 GMT 2025","passed","Tue Aug 05 13:33:44 GMT 2025","Get entity","Users","",""
"","15","Create exercise","LMS service","Tue Aug 05 13:33:36 GMT 2025","passed","Tue Aug 05 13:33:36 GMT 2025","Get entity","Exercises","",""
"","41","Create file with empty filename","LMS service","Tue Aug 05 13:33:41 GMT 2025","passed","Tue Aug 05 13:33:41 GMT 2025","Validate entity","Files","",""
"","46","Create file","LMS service","Tue Aug 05 13:33:39 GMT 2025","passed","Tue Aug 05 13:33:39 GMT 2025","Create entity","Files","",""
"","16","Get exercises","LMS service","Tue Aug 05 13:33:38 GMT 2025","passed","Tue Aug 05 13:33:38 GMT 2025","Get entities","Exercises","",""
"","12","Get file","LMS service","Tue Aug 05 13:33:40 GMT 2025","passed","Tue Aug 05 13:33:40 GMT 2025","Get entity","Files","",""
"","29","Create course","LMS service","Tue Aug 05 13:33:35 GMT 2025","passed","Tue Aug 05 13:33:35 GMT 2025","Create entity","Courses","",""
"","297","Create user","LMS service","Tue Aug 05 13:33:43 GMT 2025","passed","Tue Aug 05 13:33:43 GMT 2025","Create entity","Users","",""
"","16","Delete exercise","LMS service","Tue Aug 05 13:33:38 GMT 2025","passed","Tue Aug 05 13:33:38 GMT 2025","Delete entity","Exercises","",""
"","18","Delete file","LMS service","Tue Aug 05 13:33:40 GMT 2025","passed","Tue Aug 05 13:33:40 GMT 2025","Delete entity","Files","",""
"","41","Create file with empty directory","LMS service","Tue Aug 05 13:33:42 GMT 2025","passed","Tue Aug 05 13:33:42 GMT 2025","Validate entity","Files","",""
"","284","Create user","LMS service","Tue Aug 05 13:33:43 GMT 2025","passed","Tue Aug 05 13:33:43 GMT 2025","Create entity","Users","",""
"","281","Login with correct email and password","LMS service","Tue Aug 05 13:33:32 GMT 2025","passed","Tue Aug 05 13:33:33 GMT 2025","Login","Authentication","",""
"","13","Get file with incorrect file id","LMS service","Tue Aug 05 13:33:42 GMT 2025","passed","Tue Aug 05 13:33:42 GMT 2025","Validate entity","Files","",""
"","16","Get exercise","LMS service","Tue Aug 05 13:33:36 GMT 2025","passed","Tue Aug 05 13:33:36 GMT 2025","Create entity","Exercises","",""
"","25","Update course","LMS service","Tue Aug 05 13:33:34 GMT 2025","passed","Tue Aug 05 13:33:34 GMT 2025","Update entity","Courses","",""
